,Pos
455,207.122
456,207.57478
457,208.02757
458,208.48036
459,208.94476
460,209.39755
461,209.83873
462,210.29152
463,210.74431
464,211.20871
465,211.6615
466,212.11429
467,212.57867
468,213.03146
469,213.48425
470,213.93704
471,214.38983
472,214.84262
473,215.29541
474,215.7482
475,216.20099
476,216.66539
477,217.11818
478,217.57097
479,218.02376
480,218.47655
481,218.92934
482,219.39374
483,219.84653
484,220.29932
485,220.7521
486,221.2049
487,221.65768
488,222.11047
489,222.57487
490,223.02766
491,223.48045
492,223.93324
493,224.38603
494,224.83882
495,225.29161
496,225.75601
497,226.2088
498,226.66159
499,227.11436
500,227.56715
501,228.01994
502,228.48434
503,228.93713
504,229.38992
505,229.84271
506,230.2955
507,230.74829
508,231.20108
509,231.65387
510,232.10666
511,232.57106
512,233.02385
513,233.48825
514,233.94104
515,234.39383
516,234.84662
